id, turn_around_time
0, 11.3535
1, 41.9181
2, 38.2631
3, 8.60333
4, 38.3537
5, 35.6396
6, 9.17005
7, 38.9836
8, 40.0138
9, 7.54088
10, 38.1272
11, 6.85781
12, 40.6373
13, 35.3548
14, 8.66885
15, 38.6377
16, 43.9822
17, 10.6743
18, 2.47224
19, 3.44286
20, 4.12266
21, 2.86771
22, 2.77375
23, 39.2767
24, 6.95344
25, 40.0936
26, 35.013
27, 7.44766
28, 39.2257
29, 35.1411
30, 9.12359
31, 36.7817
32, 35.7676
33, 8.06875
34, 39.3129
35, 36.4805
36, 7.16609
37, 39.9791
38, 36.8973
39, 7.83703
40, 38.5353
41, 36.8141
42, 44.1133
43, 36.2657
44, 6.95292
45, 32.6053
46, 7.15359
47, 38.9061
48, 6.57979
49, 39.2279
50, 43.0422
51, 37.0104
52, 35.8402
53, 8.88891
54, 37.8227
55, 35.9928
56, 19.2804
57, 2.70323
58, 3.71594
59, 2.63458
60, 3.11224
61, 3.28714
62, 40.6364
63, 6.77469
64, 39.7796
65, 35.1871
66, 7.06073
67, 39.1634
68, 45.638
69, 35.2483
70, 36.5628
71, 5.0762
72, 3.73203
73, 10.8391
74, 3.52068
75, 3.68172
76, 2.42547
77, 3.36177
78, 40.7765
79, 5.53974
80, 32.0309
81, 6.23099
82, 40.1173
83, 6.27859
84, 33.4676
85, 6.36974
86, 40.3196
87, 6.70224
88, 39.5957
89, 47.1598
90, 33.9761
91, 35.5018
92, 6.15057
93, 40.6504
94, 41.2275
95, 12.3579
96, 3.05766
97, 2.60135
98, 3.42177
99, 4.22859
100, 11.4591
101, 43.6178
102, 32.5957
103, 35.667
104, 5.92312
105, 39.1542
106, 43.8605
107, 4.34036
108, 10.1628
109, 2.30708
110, 2.68005
111, 2.8851
112, 2.82255
113, 42.6313
114, 43.1149
115, 36.6334
116, 5.94401
117, 2.64375
118, 10.2881
119, 12.6622
120, 3.50646
121, 38.3236
122, 8.08156
123, 39.4836
124, 43.2149
125, 2.35432
126, 10.6883
127, 2.95427
128, 3.32094
129, 2.49552
130, 4.01313
131, 39.6874
132, 6.99917
133, 38.42
134, 37.2041
135, 6.55828
136, 40.4362
137, 34.4174
138, 6.8212
139, 41.2577
140, 35.7822
141, 6.3262
142, 32.316
143, 6.63797
144, 38.1106
145, 7.255
146, 38.6332
147, 35.6635
148, 8.90583
149, 41.1286
150, 42.0418
151, 10.2929
152, 2.81906
153, 3.99583
154, 2.63771
155, 2.88281
156, 2.83922
157, 37.7696
158, 16.2246
159, 34.071
160, 35.9253
161, 8.03568
162, 38.0805
163, 34.8549
164, 7.28432
165, 39.8395
166, 35.1991
167, 7.3388
168, 32.6137
169, 8.90891
170, 40.5106
171, 46.1207
172, 34.0332
173, 6.20526
174, 32.4844
175, 7.15562
176, 38.4798
177, 7.14984
178, 44.7892
179, 31.483
180, 5.72479
181, 39.6833
182, 36.7623
183, 5.47635
184, 39.8303
185, 45.4172
186, 34.9629
187, 35.5181
188, 7.71891
189, 32.9703
190, 14.5765
191, 3.18109
192, 3.1899
193, 4.14297
194, 3.48193
195, 2.51911
196, 10.4659
197, 38.7695
198, 35.0725
199, 36.562
200, 7.27463
201, 38.0163
202, 38.308
203, 5.50312
204, 31.3201
205, 8.39213
206, 35.3707
207, 9.88354
208, 38.7207
209, 36.9788
210, 7.32016
211, 31.4958
212, 6.85818
213, 40.9315
214, 45.9312
215, 35.3192
216, 6.28703
217, 34.0542
218, 7.28182
219, 38.7191
220, 8.10828
221, 40.0126
222, 35.2574
223, 8.00953
224, 41.1853
225, 34.4696
226, 7.38583
227, 39.2222
228, 38.3866
229, 6.35917
230, 31.4302
231, 7.78958
232, 40.8354
233, 13.5468
234, 33.1739
235, 8.20328
236, 37.8208
237, 38.6355
238, 5.90469
239, 40.5415
240, 39.557
241, 4.5501
242, 10.8944
243, 4.39542
244, 5.05724
245, 2.68151
246, 10.5339
247, 31.8694
248, 7.34
249, 39.3265
250, 6.70896
251, 32.0621
252, 9.72125
253, 38.5852
254, 6.74573
255, 37.3524
256, 7.08125
257, 49.7202
258, 37.6463
259, 34.8005
260, 35.5791
261, 7.06417
262, 38.1528
263, 37.0682
264, 17.4905
265, 3.22714
266, 3.09859
267, 4.49068
268, 2.9199
269, 4.3125
270, 10.849
271, 34.0287
272, 4.64489
273, 38.6224
274, 7.99771
275, 39.2184
276, 44.4047
277, 39.3186
278, 35.1461
279, 8.23974
280, 32.6376
281, 6.45859
282, 41.7667
283, 4.90677
284, 39.1542
285, 38.484
286, 7.77339
287, 37.855
288, 37.4647
289, 10.2086
290, 38.9238
291, 34.8203
292, 6.26849
293, 38.9842
294, 36.1769
295, 43.7778
296, 39.1855
297, 3.64214
298, 32.1931
299, 6.01385
300, 38.6483
301, 5.9013
302, 46.6185
303, 35.1141
304, 12.2193
305, 5.29906
306, 8.09677
307, 3.87693
308, 37.089
309, 7.21885
310, 38.634
311, 35.7456
312, 17.1673
313, 29.7758
314, 37.0466
315, 7.96687
316, 40.3984
317, 34.1776
318, 11.8179
319, 37.5138
320, 44.327
321, 8.70292
322, 6.18448
323, 4.38667
324, 4.0776
325, 42.6338
326, 4.99286
327, 37.6636
328, 37.3384
329, 8.14927
330, 37.0489
331, 37.953
332, 7.2175
333, 43.3066
334, 35.5669
335, 7.54219
336, 37.9956
337, 45.0249
338, 36.3897
339, 36.1419
340, 7.37177
341, 39.727
342, 37.3922
343, 17.885
344, 3.53208
345, 2.88349
346, 2.70604
347, 4.27213
348, 2.815
349, 39.9616
350, 7.2649
351, 42.4158
352, 40.6647
353, 218.024
354, 9.24161
355, 9.71401
356, 2.85948
357, 4.97448
358, 17.4673
359, 38.1534
360, 8.56536
361, 4.04172
362, 4.08729
363, 3.15573
364, 5.00859
365, 39.7064
366, 6.76391
367, 39.3417
368, 36.2239
369, 43.1763
370, 34.7668
371, 7.77771
372, 38.9457
373, 35.563
374, 7.12307
375, 43.6954
376, 40.0428
377, 37.6155
378, 34.896
379, 7.0474
380, 38.5425
381, 36.6627
382, 18.5311
383, 3.48078
384, 3.51927
385, 5.62297
386, 39.2935
387, 7.41958
388, 38.1309
389, 39.359
390, 36.7129
391, 6.62542
392, 39.2186
393, 37.4159
394, 7.44953
395, 40.8248
396, 35.0151
397, 7.38703
398, 39.275
399, 35.8629
400, 8.69661
401, 38.6846
402, 38.0899
403, 5.81135
404, 40.2963
405, 33.3933
406, 11.131
407, 37.3092
408, 35.9035
409, 7.5438
410, 39.4935
411, 36.3807
412, 8.91469
413, 49.1215
414, 7.8249
415, 2.92016
416, 4.26505
417, 3.89568
418, 2.94427
419, 4.01339
420, 9.7163
421, 39.7781
422, 7.61068
423, 3.52094
424, 6.17526
425, 42.896
426, 7.02979
427, 41.6558
428, 43.2127
429, 36.6885
430, 43.3622
431, 9.67104
432, 3.39141
433, 4.59427
434, 2.93208
435, 3.21682
436, 11.8098
437, 39.7787
438, 36.3105
439, 36.4091
440, 6.97286
441, 43.4891
442, 31.7818
443, 7.44797
444, 40.1394
445, 37.026
446, 7.42729
447, 40.0555
448, 39.9058
449, 4.37229
450, 43.9722
451, 3.97083
452, 38.6586
453, 43.901
454, 3.71047
455, 12.1529
456, 2.68448
457, 2.56974
458, 3.32984
459, 4.88552
460, 9.29958
461, 33.2393
462, 6.21297
463, 40.2063
464, 8.17286
465, 47.7068
466, 36.8111
467, 35.8534
468, 36.6381
469, 7.1849
470, 38.6305
471, 41.2427
472, 5.28521
473, 10.1446
474, 3.49766
475, 2.89219
476, 2.92964
477, 2.97875
478, 12.257
479, 39.063
480, 36.9263
481, 35.8927
482, 8.99833
483, 46.6917
484, 38.0296
485, 34.5644
486, 37.4757
487, 4.87021
488, 39.3475
489, 35.8292
490, 44.1789
491, 35.8322
492, 6.21797
493, 32.4073
494, 6.44906
495, 37.8821
496, 10.1092
497, 39.5304
498, 40.9607

